gene_symbol,tissue_id,score
TAS1R3,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,8.59593
TAS1R3,Spleen,6.23236
TAS1R3,Small_Intestine_Terminal_Ileum_Mixed_Cell,4.58321
TAS1R3,Pituitary,3.19331
TAS1R3,Liver_Portal_Tract,3.15001
TAS1R3,Small_Intestine_Terminal_Ileum,2.87213
TAS1R3,Minor_Salivary_Gland,2.28338
TAS1R3,Testis,2.19176
TAS1R3,Brain_Cerebellum,2.19131
TAS1R3,Colon_Transverse_Mucosa,2.10425
TAS1R3,Brain_Cerebellar_Hemisphere,2.00888
TAS1R3,Colon_Transverse_Mixed_Cell,1.90193
NADK,Whole_Blood,171.184
NADK,Spleen,109.695
NADK,Liver_Hepatocyte,93.2725
NADK,Liver_Mixed_Cell,90.5018
NADK,Adrenal_Gland,69.7827
NADK,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,68.5191
NADK,Artery_Tibial,59.8733
NADK,Lung,57.8298
NADK,Artery_Coronary,57.7602
NADK,Adipose_Subcutaneous,57.5711
NADK,Cells_EBV-transformed_lymphocytes,55.9421
NADK,Adipose_Visceral_Omentum,55.594
PRKCZ,Brain_Cerebellar_Hemisphere,92.7204
PRKCZ,Brain_Cerebellum,87.6462
PRKCZ,Brain_Frontal_Cortex_BA9,43.3985
PRKCZ,Brain_Cortex,40.2479
PRKCZ,Testis,36.3103
PRKCZ,Brain_Anterior_cingulate_cortex_BA24,30.4971
PRKCZ,Brain_Nucleus_accumbens_basal_ganglia,27.5956
PRKCZ,Brain_Spinal_cord_cervical_c-1,21.9614
PRKCZ,Lung,21.3082
PRKCZ,Brain_Caudate_basal_ganglia,19.6144
PRKCZ,Brain_Hypothalamus,18.8367
PRKCZ,Brain_Amygdala,17.3042
ICMT,Cells_Cultured_fibroblasts,74.1607
ICMT,Artery_Aorta,60.9945
ICMT,Artery_Tibial,56.5757
ICMT,Artery_Coronary,54.9948
ICMT,Pituitary,48.9689
ICMT,Brain_Cerebellum,46.3836
ICMT,Uterus,44.1658
ICMT,Colon_Sigmoid,43.7581
ICMT,Cervix_Endocervix,41.7389
ICMT,Muscle_Skeletal,41.6127
ICMT,Esophagus_Muscularis,41.2878
ICMT,Adipose_Subcutaneous,41.2262
TAS1R1,Testis,10.1939
TAS1R1,Spleen,1.04122
TAS1R1,Colon_Transverse_Muscularis,0.994587
TAS1R1,Skin_Not_Sun_Exposed_Suprapubic,0.888387
TAS1R1,Colon_Sigmoid,0.777112
TAS1R1,Artery_Aorta,0.651819
TAS1R1,Minor_Salivary_Gland,0.565314
TAS1R1,Pituitary,0.562558
TAS1R1,Stomach_Muscularis,0.466569
TAS1R1,Skin_Sun_Exposed_Lower_leg,0.461289
TAS1R1,Lung,0.444579
TAS1R1,Ovary,0.438282
CA6,Skin_Sun_Exposed_Lower_leg,19.0009
CA6,Skin_Not_Sun_Exposed_Suprapubic,9.3335
CA6,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,0.179334
CA6,Spleen,0.162155
CA6,Whole_Blood,0.090716
CA6,Pituitary,0.072606
CA6,Minor_Salivary_Gland,0.062301
CA6,Testis,0.054198
CA6,Small_Intestine_Terminal_Ileum_Mixed_Cell,0.034453
CA6,Breast_Mammary_Tissue,0.021966
CA6,Brain_Hippocampus,0.016578
CA6,Small_Intestine_Terminal_Ileum,0.012582
PIK3CD,Whole_Blood,129.097
PIK3CD,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,113.119
PIK3CD,Cells_EBV-transformed_lymphocytes,107.31
PIK3CD,Spleen,85.1854
PIK3CD,Small_Intestine_Terminal_Ileum_Mixed_Cell,40.3247
PIK3CD,Liver_Portal_Tract,32.4204
PIK3CD,Lung,23.4945
PIK3CD,Small_Intestine_Terminal_Ileum,15.1072
PIK3CD,Ovary,14.4216
PIK3CD,Uterus,12.2586
PIK3CD,Fallopian_Tube,11.4973
PIK3CD,Adipose_Visceral_Omentum,10.9892
PGD,Whole_Blood,894.585
PGD,Esophagus_Mucosa,647.45
PGD,Vagina,175.644
PGD,Spleen,151.46
PGD,Cervix_Ectocervix,148.565
PGD,Adipose_Subcutaneous,148.071
PGD,Lung,143.299
PGD,Cells_Cultured_fibroblasts,139.022
PGD,Testis,133.266
PGD,Cells_EBV-transformed_lymphocytes,128.539
PGD,Adipose_Visceral_Omentum,121.765
PGD,Thyroid,105.665
MASP2,Liver_Mixed_Cell,142.925
MASP2,Liver_Hepatocyte,121.383
MASP2,Liver,98.152
MASP2,Liver_Portal_Tract,34.9204
MASP2,Brain_Cerebellum,19.2353
MASP2,Brain_Cerebellar_Hemisphere,18.6838
MASP2,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,14.4308
MASP2,Nerve_Tibial,10.8976
MASP2,Cervix_Endocervix,8.84468
MASP2,Uterus,8.6706
MASP2,Fallopian_Tube,7.99973
MASP2,Skin_Sun_Exposed_Lower_leg,7.789
MTOR,Testis,44.0508
MTOR,Brain_Cerebellum,32.3423
MTOR,Brain_Cerebellar_Hemisphere,30.5752
MTOR,Cells_EBV-transformed_lymphocytes,25.7707
MTOR,Uterus,25.165
MTOR,Kidney_Medulla,25.0042
MTOR,Nerve_Tibial,24.7637
MTOR,Thyroid,24.1243
MTOR,Esophagus_Muscularis,23.8582
MTOR,Colon_Sigmoid,23.5795
MTOR,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,23.4498
MTOR,Cells_Cultured_fibroblasts,23.3759
MTHFR,Liver_Portal_Tract,37.2979
MTHFR,Ovary,27.3269
MTHFR,Nerve_Tibial,25.8488
MTHFR,Spleen,24.4749
MTHFR,Lung,23.4908
MTHFR,Thyroid,22.2748
MTHFR,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,22.0524
MTHFR,Pituitary,21.7987
MTHFR,Brain_Cerebellum,16.5375
MTHFR,Testis,16.2273
MTHFR,Colon_Transverse_Muscularis,16.1696
MTHFR,Stomach_Muscularis,15.8012
CTRC,Pancreas_Acini,3929.33
CTRC,Pancreas_Mixed_Cell,3557.88
CTRC,Pancreas,3414.0
CTRC,Pancreas_Islets,685.902
CTRC,Liver_Portal_Tract,1.49281
CTRC,Liver_Mixed_Cell,1.06036
CTRC,Whole_Blood,0.993956
CTRC,Spleen,0.980206
CTRC,Liver_Hepatocyte,0.789811
CTRC,Testis,0.714978
CTRC,Uterus,0.577302
CTRC,Brain_Cerebellum,0.530705
CASP9,Ovary,59.7679
CASP9,Pituitary,30.0299
CASP9,Testis,28.5071
CASP9,Thyroid,27.3592
CASP9,Fallopian_Tube,26.1767
CASP9,Uterus,20.6427
CASP9,Cervix_Endocervix,18.8696
CASP9,Prostate,17.734
CASP9,Liver_Portal_Tract,17.0313
CASP9,Nerve_Tibial,16.753
CASP9,Kidney_Medulla,15.1605
CASP9,Adrenal_Gland,13.6212
EPHA2,Esophagus_Mucosa,204.412
EPHA2,Liver_Portal_Tract,142.292
EPHA2,Vagina,108.361
EPHA2,Cervix_Ectocervix,75.6077
EPHA2,Skin_Not_Sun_Exposed_Suprapubic,64.3966
EPHA2,Skin_Sun_Exposed_Lower_leg,60.214
EPHA2,Nerve_Tibial,44.0817
EPHA2,Minor_Salivary_Gland,40.8549
EPHA2,Kidney_Medulla,38.2752
EPHA2,Thyroid,37.6059
EPHA2,Adipose_Visceral_Omentum,37.2405
EPHA2,Uterus,36.0044
PADI3,Bladder,36.0771
PADI3,Esophagus_Mucosa,17.7387
PADI3,Vagina,1.59843
PADI3,Testis,0.675014
PADI3,Skin_Not_Sun_Exposed_Suprapubic,0.545608
PADI3,Prostate,0.537344
PADI3,Cervix_Ectocervix,0.453968
PADI3,Skin_Sun_Exposed_Lower_leg,0.337916
PADI3,Minor_Salivary_Gland,0.092072
PADI3,Colon_Transverse_Mucosa,0.083106
PADI3,Colon_Transverse_Mixed_Cell,0.077333
PADI3,Cells_EBV-transformed_lymphocytes,0.065999
HTR6,Brain_Nucleus_accumbens_basal_ganglia,9.18958
HTR6,Brain_Caudate_basal_ganglia,7.06306
HTR6,Brain_Putamen_basal_ganglia,6.18729
HTR6,Brain_Cortex,3.31572
HTR6,Brain_Frontal_Cortex_BA9,2.97409
HTR6,Brain_Anterior_cingulate_cortex_BA24,1.76376
HTR6,Brain_Hypothalamus,0.913949
HTR6,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,0.806384
HTR6,Brain_Hippocampus,0.6283
HTR6,Brain_Amygdala,0.571449
HTR6,Testis,0.550508
HTR6,Cells_EBV-transformed_lymphocytes,0.482348
PLA2G2A,Artery_Coronary,1540.21
PLA2G2A,Liver_Mixed_Cell,1317.8
PLA2G2A,Liver_Portal_Tract,1100.41
PLA2G2A,Liver_Hepatocyte,1079.68
PLA2G2A,Small_Intestine_Terminal_Ileum,1058.66
PLA2G2A,Small_Intestine_Terminal_Ileum_Mixed_Cell,1027.34
PLA2G2A,Heart_Atrial_Appendage,940.332
PLA2G2A,Nerve_Tibial,744.838
PLA2G2A,Adipose_Subcutaneous,727.448
PLA2G2A,Colon_Transverse_Mixed_Cell,583.485
PLA2G2A,Adipose_Visceral_Omentum,541.173
PLA2G2A,Colon_Transverse_Mucosa,411.248
PLA2G5,Ovary,86.9365
PLA2G5,Heart_Atrial_Appendage,67.0408
PLA2G5,Artery_Coronary,59.0351
PLA2G5,Heart_Left_Ventricle,29.2593
PLA2G5,Colon_Sigmoid,21.4772
PLA2G5,Esophagus_Gastroesophageal_Junction,18.415
PLA2G5,Esophagus_Muscularis,16.2256
PLA2G5,Testis,14.7149
PLA2G5,Liver_Portal_Tract,12.9303
PLA2G5,Colon_Transverse_Muscularis,12.5344
PLA2G5,Prostate,11.4755
PLA2G5,Bladder,10.7127
CDA,Whole_Blood,639.951
CDA,Esophagus_Mucosa,147.267
CDA,Vagina,71.8296
CDA,Cervix_Ectocervix,66.5045
CDA,Liver,60.3419
CDA,Spleen,46.8455
CDA,Liver_Hepatocyte,45.265
CDA,Colon_Transverse_Mixed_Cell,44.5755
CDA,Colon_Transverse_Mucosa,41.9114
CDA,Liver_Mixed_Cell,39.6668
CDA,Skin_Sun_Exposed_Lower_leg,33.6527
CDA,Cells_Cultured_fibroblasts,32.2567
ECE1,Artery_Tibial,168.462
ECE1,Adipose_Subcutaneous,147.042
ECE1,Adrenal_Gland,143.775
ECE1,Ovary,138.055
ECE1,Nerve_Tibial,134.971
ECE1,Lung,134.687
ECE1,Breast_Mammary_Tissue,131.428
ECE1,Cells_Cultured_fibroblasts,130.499
ECE1,Artery_Coronary,127.333
ECE1,Cervix_Endocervix,120.69
ECE1,Colon_Sigmoid,117.308
ECE1,Thyroid,106.901
ALPL,Whole_Blood,953.892
ALPL,Spleen,97.8435
ALPL,Lung,92.9128
ALPL,Adrenal_Gland,80.0584
ALPL,Liver_Mixed_Cell,75.214
ALPL,Liver_Hepatocyte,66.6846
ALPL,Liver,51.0232
ALPL,Liver_Portal_Tract,33.2314
ALPL,Adipose_Visceral_Omentum,32.0209
ALPL,Breast_Mammary_Tissue,30.5992
ALPL,Kidney_Cortex,28.3993
ALPL,Kidney_Medulla,20.9075
CDC42,Cells_EBV-transformed_lymphocytes,36.2592
CDC42,Whole_Blood,34.0045
CDC42,Cells_Cultured_fibroblasts,28.7265
CDC42,Lung,22.9099
CDC42,Cervix_Ectocervix,22.608
CDC42,Vagina,22.2109
CDC42,Uterus,22.1052
CDC42,Skin_Not_Sun_Exposed_Suprapubic,21.5588
CDC42,Fallopian_Tube,21.3182
CDC42,Skin_Sun_Exposed_Lower_leg,20.7541
CDC42,Esophagus_Mucosa,20.5694
CDC42,Liver_Portal_Tract,20.4045
KDM1A,Testis,96.868
KDM1A,Cells_EBV-transformed_lymphocytes,52.036
KDM1A,Ovary,49.2621
KDM1A,Cervix_Endocervix,45.8953
KDM1A,Uterus,45.4401
KDM1A,Pituitary,42.0035
KDM1A,Cells_Cultured_fibroblasts,41.2124
KDM1A,Fallopian_Tube,41.0786
KDM1A,Cervix_Ectocervix,38.8024
KDM1A,Brain_Cerebellar_Hemisphere,38.1569
KDM1A,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,36.227
KDM1A,Vagina,35.6048
HTR1D,Brain_Nucleus_accumbens_basal_ganglia,8.35228
HTR1D,Small_Intestine_Terminal_Ileum_Mixed_Cell,4.17732
HTR1D,Brain_Caudate_basal_ganglia,4.02076
HTR1D,Small_Intestine_Terminal_Ileum,3.25554
HTR1D,Brain_Putamen_basal_ganglia,3.21506
HTR1D,Liver_Portal_Tract,2.74505
HTR1D,Brain_Cortex,0.720528
HTR1D,Testis,0.617507
HTR1D,Brain_Frontal_Cortex_BA9,0.590279
HTR1D,Brain_Hypothalamus,0.553274
HTR1D,Brain_Amygdala,0.467493
HTR1D,Nerve_Tibial,0.401668
LYPLA2,Liver_Portal_Tract,102.349
LYPLA2,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,99.1327
LYPLA2,Spleen,91.0744
LYPLA2,Kidney_Medulla,89.1238
LYPLA2,Small_Intestine_Terminal_Ileum_Mixed_Cell,88.955
LYPLA2,Cells_EBV-transformed_lymphocytes,86.3755
LYPLA2,Esophagus_Mucosa,85.4397
LYPLA2,Colon_Transverse_Mixed_Cell,82.6446
LYPLA2,Colon_Transverse_Mucosa,81.778
LYPLA2,Prostate,72.5022
LYPLA2,Thyroid,72.4655
LYPLA2,Whole_Blood,70.5452
FUCA1,Colon_Transverse_Mixed_Cell,156.475
FUCA1,Colon_Transverse_Mucosa,142.681
FUCA1,Small_Intestine_Terminal_Ileum_Mixed_Cell,123.4
FUCA1,Small_Intestine_Terminal_Ileum_Lymphoid_Aggregate,87.0654
FUCA1,Thyroid,81.9062
FUCA1,Small_Intestine_Terminal_Ileum,78.9372
FUCA1,Pancreas_Islets,73.9593
