ingredient_id,nutrient_id,amount,unit
SP_000161,1178,0.0,UG
SP_000161,1277,0.0,G
SP_000161,1265,0.251,G
SP_000161,1089,1.3,MG
SP_000161,1260,0.0,G
SP_000161,1095,1.41,MG
SP_000161,1325,0.0,G
SP_000161,1165,0.09,MG
SP_000161,1105,0.0,UG
SP_000161,1008,371.0,KCAL
SP_000161,1014,1.96,G
SP_000161,1010,0.48,G
SP_000161,1259,0.0,G
SP_000161,1276,0.0,G
SP_000161,1332,0.0,G
SP_000161,1253,0.0,MG
SP_000161,1170,0.431,MG
SP_000161,1269,0.54,G
SP_000161,1092,223.0,MG
SP_000161,1166,0.06,MG
SP_000161,1162,0.0,MG
SP_000161,1321,0.0,G
SP_000161,1190,18.0,UG
SP_000161,1293,0.564,G
SP_000161,1266,0.025,G
SP_000161,1267,0.0,G
SP_000161,1087,21.0,MG
SP_000161,1313,0.0,G
SP_000161,1333,0.0,G
SP_000161,1279,0.0,G
SP_000161,1114,0.0,UG
SP_000161,1167,1.7,MG
SP_000161,1262,0.0,G
SP_000161,1299,0.0,G
SP_000161,1018,0.0,G
SP_000161,1268,0.171,G
SP_000161,2000,2.67,G
SP_000161,1005,74.67,G
SP_000161,1011,0.12,G
SP_000161,1304,0.0,G
SP_000161,1292,0.171,G
SP_000161,1404,0.024,G
SP_000161,1271,0.0,G
SP_000161,1270,0.024,G
SP_000161,1177,18.0,UG
SP_000161,1003,13.04,G
SP_000161,1075,0.0,G
SP_000161,1012,0.11,G
SP_000161,1315,0.171,G
SP_000161,1127,0.0,MG
SP_000161,1312,0.0,G
SP_000161,1128,0.13,MG
SP_000161,1214,0.298,G
SP_000161,1224,4.596,G
SP_000161,1215,0.147,G
SP_000161,1264,0.0,G
SP_000161,1009,62.45,G
SP_000161,1013,0.0,G
SP_000161,1210,0.185,G
SP_000161,1062,1553.0,kJ
SP_000161,1101,0.917,MG
SP_000161,1226,1.569,G
SP_000161,1007,0.88,G
SP_000161,1211,0.462,G
SP_000161,1329,0.0,G
SP_000161,1051,9.9,G
SP_000161,1223,0.624,G
SP_000161,1131,0.0,MG
SP_000161,1323,0.0,G
SP_000161,1090,53.0,MG
SP_000161,1175,0.142,MG
SP_000161,1106,0.0,UG
SP_000161,1217,0.668,G
SP_000161,1257,0.0,G
SP_000161,1280,0.0,G
SP_000161,1275,0.0,G
SP_000161,1185,0.1,UG
SP_000161,1225,0.441,G
SP_000161,1221,0.298,G
SP_000161,1273,0.0,G
SP_000161,1109,0.11,MG
SP_000161,1220,0.474,G
SP_000161,1218,0.243,G
SP_000161,1098,0.289,MG
SP_000161,1129,0.01,MG
SP_000161,1300,0.0,G
SP_000161,1219,0.588,G
SP_000161,1110,0.0,IU
SP_000161,1263,0.0,G
SP_000161,1125,0.05,MG
SP_000161,1079,3.2,G
SP_000161,1301,0.0,G
SP_000161,1216,0.255,G
SP_000161,1212,0.511,G
SP_000161,1222,0.438,G
SP_000161,1261,0.0,G
SP_000161,1093,6.0,MG
SP_000161,1274,0.0,G
SP_000161,1091,189.0,MG
SP_000161,1186,0.0,UG
SP_000161,1227,0.617,G
SP_000161,1104,0.0,IU
SP_000161,1272,0.0,G
SP_000161,1258,0.277,G
SP_000161,1184,0.0,UG
SP_000161,1187,18.0,UG
SP_000161,1213,0.988,G
SP_000161,1130,0.0,MG
SP_000161,1228,0.0,G
SP_000161,1103,63.2,UG
SP_000161,1278,0.0,G
SP_000161,1126,0.88,MG
SP_000161,1004,1.51,G
SP_000175,1269,0.11,G
SP_000175,1103,27.0,UG
SP_000175,1222,1.228,G
SP_000175,1223,1.875,G
SP_000175,1091,187.0,MG
SP_000175,1275,0.04,G
SP_000175,1062,456.0,kJ
SP_000175,1214,1.686,G
SP_000175,1106,0.0,UG
SP_000175,1098,0.09,MG
SP_000175,1051,74.57,G
SP_000175,1225,1.039,G
SP_000175,1227,0.823,G
SP_000175,1162,0.0,MG
SP_000175,1087,6.0,MG
SP_000175,1105,0.0,UG
SP_000175,1224,3.15,G
SP_000175,1213,1.679,G
SP_000175,1218,0.695,G
SP_000175,1104,0.0,IU
SP_000175,1270,0.03,G
SP_000175,1258,0.69,G
SP_000175,1215,0.513,G
SP_000175,1219,0.978,G
SP_000175,1005,0.0,G
SP_000175,1271,0.05,G
SP_000175,1293,0.19,G
SP_000175,1004,1.84,G
SP_000175,1101,0.007,MG
SP_000175,1268,0.67,G
SP_000175,1253,62.0,MG
SP_000175,1092,343.0,MG
SP_000175,1167,1.91,MG
SP_000175,1212,0.911,G
SP_000175,1079,0.0,G
SP_000175,1008,109.0,KCAL
SP_000175,1226,0.863,G
SP_000175,1003,21.62,G
SP_000175,1265,0.33,G
SP_000175,1095,2.8,MG
SP_000175,1217,0.809,G
SP_000175,1007,1.2,G
SP_000175,1264,0.02,G
SP_000175,1292,0.72,G
SP_000175,1211,0.89,G
SP_000175,1090,25.0,MG
SP_000175,1093,54.0,MG
SP_000175,1166,0.094,MG
SP_000175,1221,0.573,G
SP_000175,1089,2.6,MG
SP_000175,1266,0.35,G
SP_000175,1220,1.282,G
SP_000180,1104,0.0,IU
SP_000180,1213,1.755,G
SP_000180,1092,297.0,MG
SP_000180,1268,0.37,G
SP_000180,1265,0.25,G
SP_000180,1062,414.0,kJ
SP_000180,1217,0.817,G
SP_000180,1004,1.37,G
SP_000180,1264,0.01,G
SP_000180,1221,0.675,G
SP_000180,1275,0.03,G
SP_000180,1105,0.0,UG
SP_000180,1178,1.66,UG
SP_000180,1175,0.53,MG
SP_000180,1187,8.0,UG
SP_000180,1162,0.0,MG
SP_000180,1008,99.0,KCAL
SP_000180,1226,0.78,G
SP_000180,1095,1.93,MG
SP_000180,1170,0.16,MG
SP_000180,1079,0.0,G
SP_000180,1271,0.07,G
SP_000180,1190,8.0,UG
SP_000180,1293,0.27,G
SP_000180,1007,1.05,G
SP_000180,1103,9.0,UG
SP_000180,1292,0.42,G
SP_000180,1166,0.2,MG
SP_000180,1186,0.0,UG
SP_000180,1215,0.511,G
SP_000180,1220,1.278,G
SP_000180,1098,0.151,MG
SP_000180,1224,2.956,G
SP_000180,1218,0.818,G
SP_000180,1219,1.084,G
SP_000180,1177,8.0,UG
SP_000180,1253,46.0,MG
SP_000180,1089,1.61,MG
SP_000180,1051,76.3,G
SP_000180,1227,0.875,G
SP_000180,1211,0.976,G
SP_000180,1090,32.0,MG
SP_000180,1214,1.61,G
SP_000180,1087,12.0,MG
SP_000180,1005,0.0,G
SP_000180,1210,0.249,G
SP_000180,1093,53.0,MG
SP_000180,1212,1.023,G
SP_000180,1269,0.16,G
SP_000180,1258,0.46,G
SP_000180,1216,0.326,G
SP_000180,1223,2.034,G
SP_000180,1167,5.97,MG
SP_000180,1225,0.795,G
SP_000180,1266,0.19,G
SP_000180,1003,20.39,G
SP_000180,1165,0.04,MG
SP_000180,1270,0.04,G
SP_000180,1091,197.0,MG
SP_000180,1106,0.0,UG
SP_000197,1227,0.777,G
SP_000197,1223,1.826,G
SP_000197,1018,0.0,G
SP_000197,1186,0.0,UG
SP_000197,1216,0.214,G
SP_000197,1270,0.072,G
SP_000197,1217,0.797,G
SP_000197,1299,0.043,G
SP_000197,1259,0.0,G
SP_000197,1123,0.0,UG
SP_000197,1214,1.778,G
SP_000197,1271,0.078,G
SP_000197,1008,172.0,KCAL
SP_000197,1266,0.981,G
SP_000197,1162,0.0,MG
SP_000197,1265,2.029,G
SP_000197,1190,7.0,UG
SP_000197,1004,8.82,G
SP_000197,1262,0.005,G
SP_000197,1300,0.053,G
SP_000197,1220,1.302,G
SP_000197,1267,0.005,G
SP_000197,1225,1.107,G
SP_000197,1213,1.622,G
SP_000197,1079,0.0,G
SP_000197,1273,0.0,G
SP_000197,1177,7.0,UG
SP_000197,1212,0.913,G
SP_000197,1107,0.0,UG
SP_000197,1051,68.84,G
SP_000197,1105,0.0,UG
SP_000197,1187,7.0,UG
SP_000197,1007,1.04,G
SP_000197,1170,0.96,MG
SP_000197,1268,1.656,G
SP_000197,1057,0.0,MG
SP_000197,2000,0.0,G
SP_000197,1325,0.005,G
SP_000197,1261,0.005,G
SP_000197,1313,0.005,G
SP_000197,1178,2.13,UG
SP_000197,1098,0.15,MG
SP_000197,1165,0.125,MG
SP_000197,1092,322.0,MG
SP_000197,1103,8.0,UG
SP_000197,1258,3.469,G
SP_000197,1106,0.0,UG
SP_000197,1166,0.26,MG
SP_000197,1228,0.204,G
SP_000197,1087,12.0,MG
SP_000197,1167,4.89,MG
SP_000197,1089,2.75,MG
SP_000197,1175,0.336,MG
SP_000197,1253,66.0,MG
