gene_symbol,pathway_id
ADRA1D,R-HSA-390696
ADRA1D,R-HSA-416476
ADRA1D,R-HSA-416482
ADRA1D,GO:0071880
ADRA1D,GO:0007188
ADRA1D,GO:0007267
ADRA1D,GO:0007186
ADRA1D,GO:0150099
ADRA1D,GO:0007200
ADRA1D,GO:0008284
ADRA1D,GO:0007204
ADRA1D,GO:0043410
ADRA1D,GO:0045907
ADH1A,R-HSA-2161541
ADH1A,R-HSA-5365859
ADH1A,R-HSA-71384
ADH1A,GO:0006066
ADH1A,GO:0042573
ADH1A,GO:0042572
ADH1B,R-HSA-71384
ADH1B,GO:0042573
ADH1B,GO:0001523
ADH1B,GO:0042572
ADRA1B,R-HSA-390696
ADRA1B,R-HSA-416476
ADRA1B,R-HSA-416482
ADRA1B,GO:0071880
ADRA1B,GO:0007188
ADRA1B,GO:0007267
ADRA1B,GO:0007186
ADRA1B,GO:0035556
ADRA1B,GO:0150099
ADRA1B,GO:0007200
ADRA1B,GO:0010613
ADRA1B,GO:0007204
ADRA1B,GO:0043410
ADRA1B,GO:0055117
ADRA1B,GO:0019229
ADORA2B,R-HSA-417973
ADORA2B,R-HSA-418555
ADORA2B,R-HSA-5683826
ADORA2B,R-HSA-9660821
ADORA2B,GO:0007190
ADORA2B,GO:0007189
ADORA2B,GO:0007186
ADORA2B,GO:0099171
ADORA2B,GO:0042311
ADORA1,R-HSA-417973
ADORA1,R-HSA-418594
ADORA1,GO:0007193
ADORA1,GO:0097190
ADORA1,GO:0007267
ADORA1,GO:0050890
ADORA1,GO:0050965
ADORA1,GO:0007173
ADORA1,GO:0060079
ADORA1,GO:0055089
ADORA1,GO:0035589
ADORA1,GO:0007186
ADORA1,GO:0006954
ADORA1,GO:0016042
ADORA1,GO:0002674
ADORA1,GO:0043066
ADORA1,GO:0008285
ADORA1,GO:0042323
ADORA1,GO:0014050
ADORA1,GO:0046888
ADORA1,GO:0050995
ADORA1,GO:1900272
ADORA1,GO:0032900
ADORA1,GO:0032229
ADORA1,GO:0051967
ADORA1,GO:0003085
ADORA1,GO:0007399
ADORA1,GO:0006909
ADORA1,GO:0035306
ADORA1,GO:0045745
ADORA1,GO:0050996
ADORA1,GO:0043410
ADORA1,GO:0032244
ADORA1,GO:0002793
ADORA1,GO:0051897
ADORA1,GO:0043268
ADORA1,GO:0003084
ADORA1,GO:0006612
ADORA1,GO:0086004
ADORA1,GO:0099509
ADORA1,GO:0002087
ADORA1,GO:0051930
ADORA1,GO:0001666
ADORA1,GO:0014074
