compound_id,gene_symbol,evidence,confidence
KWIUHFFTVRNATP-UHFFFAOYSA-N,MTHFR,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CYP2C9,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,ABCB1,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CYP2B6,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CYP2C19,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CYP2D6,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CYP3A4,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CYP3A5,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,NAT2,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,CYP1A2,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,ABCG2,measured,1.0
ALLYVKRLOHDVKI-UHFFFAOYSA-N,CYP2C9,measured,1.0
ALLYVKRLOHDVKI-UHFFFAOYSA-N,ABCB1,measured,1.0
ALLYVKRLOHDVKI-UHFFFAOYSA-N,CYP2B6,measured,1.0
ALLYVKRLOHDVKI-UHFFFAOYSA-N,CYP2D6,measured,1.0
ALLYVKRLOHDVKI-UHFFFAOYSA-N,CYP1A1,measured,1.0
ALLYVKRLOHDVKI-UHFFFAOYSA-N,CYP2C19,measured,1.0
ALLYVKRLOHDVKI-UHFFFAOYSA-N,UGT2B7,measured,1.0
ALLYVKRLOHDVKI-UHFFFAOYSA-N,ABCC2,measured,1.0
ALLYVKRLOHDVKI-UHFFFAOYSA-N,CYP3A4,measured,1.0
ALLYVKRLOHDVKI-UHFFFAOYSA-N,CYP2C8,measured,1.0
ALLYVKRLOHDVKI-UHFFFAOYSA-N,CYP3A5,measured,1.0
ALLYVKRLOHDVKI-UHFFFAOYSA-N,CYP1A2,measured,1.0
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,FUT2,measured,1.0
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CYP2D6,measured,1.0
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,TAS2R16,measured,1.0
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CYP2E1,measured,1.0
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,ALDH2,measured,1.0
LFQSCWFLJHTTHZ-UHFFFAOYSA-N,CYP1A2,measured,1.0
AEMFNILZOJDQLW-UHFFFAOYSA-N,CYP2C19,measured,1.0
QIVBCDIJIAJPQS-VIFPVBQESA-N,SLC22A2,measured,1.0
DHKHKXVYLBGOIT-UHFFFAOYSA-N,ALDH2,measured,1.0
AHMIDUVKSGCHAU-LURJTMIESA-N,CYP2C9,measured,1.0
AHMIDUVKSGCHAU-LURJTMIESA-N,CYP2B6,measured,1.0
AHMIDUVKSGCHAU-LURJTMIESA-N,CYP2D6,measured,1.0
AHMIDUVKSGCHAU-LURJTMIESA-N,CYP2C19,measured,1.0
AHMIDUVKSGCHAU-LURJTMIESA-N,APOE,measured,1.0
AHMIDUVKSGCHAU-LURJTMIESA-N,CYP3A4,measured,1.0
AHMIDUVKSGCHAU-LURJTMIESA-N,CYP3A5,measured,1.0
AHMIDUVKSGCHAU-LURJTMIESA-N,CYP2A6,measured,1.0
AHMIDUVKSGCHAU-LURJTMIESA-N,CYP1A2,measured,1.0
RYYVLZVUVIJVGH-UHFFFAOYSA-N,CYP1A1,measured,1.0
RYYVLZVUVIJVGH-UHFFFAOYSA-N,CYP2A6,measured,1.0
RYYVLZVUVIJVGH-UHFFFAOYSA-N,CYP2E1,measured,1.0
RYYVLZVUVIJVGH-UHFFFAOYSA-N,CYP3A4,measured,1.0
RYYVLZVUVIJVGH-UHFFFAOYSA-N,NAT2,measured,1.0
RYYVLZVUVIJVGH-UHFFFAOYSA-N,CYP1A2,measured,1.0
DCXYFEDJOCDNAF-REOHCLBHSA-N,ABCB1,measured,1.0
DCXYFEDJOCDNAF-REOHCLBHSA-N,CYP3A5,measured,1.0
AFSDNFLWKVMVRB-UHFFFAOYSA-N,SRC,measured,1.0
KZNIFHPLKGYRTM-UHFFFAOYSA-N,CSNK2A1,measured,1.0
PVNIIMVLHYAWGP-UHFFFAOYSA-N,HCAR2,measured,1.0
LUKBXSAWLPMMSZ-OWOJBTEDSA-N,ESR2,measured,1.0
FRASJONUBLZVQX-UHFFFAOYSA-N,IDO1,measured,1.0
KQPYUDDGWXQXHS-UHFFFAOYSA-N,IDO1,measured,1.0
FJKROLUGYXJWQN-UHFFFAOYSA-N,CA1,measured,1.0
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,CA2,measured,1.0
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,CA3,measured,1.0
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,CA4,measured,1.0
FJKROLUGYXJWQN-UHFFFAOYSA-N,CA5A,measured,1.0
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,CA9,measured,1.0
ISWSIDIOOBJBQZ-UHFFFAOYSA-N,CA12,measured,1.0
FJKROLUGYXJWQN-UHFFFAOYSA-N,CA12,measured,1.0
IKMDFBPHZNJCSN-UHFFFAOYSA-N,PIM1,measured,1.0
KZNIFHPLKGYRTM-UHFFFAOYSA-N,PIM1,measured,1.0
IYRMWMYZSQPJKC-UHFFFAOYSA-N,PIM1,measured,1.0
IIACRCGMVDHOTQ-UHFFFAOYSA-N,CA4,measured,1.0
LUKBXSAWLPMMSZ-OWOJBTEDSA-N,NQO2,measured,1.0
AFSDNFLWKVMVRB-UHFFFAOYSA-N,HSPA1A,measured,1.0
AFSDNFLWKVMVRB-UHFFFAOYSA-N,SMAD3,measured,1.0
LUKBXSAWLPMMSZ-OWOJBTEDSA-N,CYP1B1,measured,1.0
APJYDQYYACXCRM-UHFFFAOYSA-N,HTR1E,measured,1.0
APJYDQYYACXCRM-UHFFFAOYSA-N,HTR1B,measured,1.0
APJYDQYYACXCRM-UHFFFAOYSA-N,HTR1D,measured,1.0
VYFYYTLLBUKUHU-UHFFFAOYSA-N,DRD2,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,GABRA1,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,GABRA2,measured,1.0
AAOVKJBEBIDNHE-UHFFFAOYSA-N,GABRA3,measured,1.0
APJYDQYYACXCRM-UHFFFAOYSA-N,HTR1A,measured,1.0
APJYDQYYACXCRM-UHFFFAOYSA-N,HTR2A,measured,1.0
APJYDQYYACXCRM-UHFFFAOYSA-N,HTR7,measured,1.0
APJYDQYYACXCRM-UHFFFAOYSA-N,HTR6,measured,1.0
VYFYYTLLBUKUHU-UHFFFAOYSA-N,SLC6A3,measured,1.0
APJYDQYYACXCRM-UHFFFAOYSA-N,HTR1F,measured,1.0
APJYDQYYACXCRM-UHFFFAOYSA-N,HTR2C,measured,1.0
APJYDQYYACXCRM-UHFFFAOYSA-N,HTR2B,measured,1.0
IKMDFBPHZNJCSN-UHFFFAOYSA-N,MAPK14,measured,1.0
IKMDFBPHZNJCSN-UHFFFAOYSA-N,MAPK1,measured,1.0
