compound_id,name
AAANZTDKTFGJLZ-UHFFFAOYSA-N,"1,5,8-Trihydroxy-3-methyl-2-prenylxanthone"
AAARRLVSWMMLIL-JFDCHTIYSA-N,"TG(20:2n6/20:0/20:4(8Z,11Z,14Z,17Z))"
AAAULIDICJVAGC-XUJQSNPTSA-N,"TG(18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z)/22:5(7Z,10Z,13Z,16Z,19Z))"
AAAUQAJYMBAEDN-SDYYSCIWSA-N,"TG(22:4(7Z,10Z,13Z,16Z)/20:3(5Z,8Z,11Z)/20:4(8Z,11Z,14Z,17Z))"
AAAYFFAGXKLUDV-XSMLMOGHSA-N,TG(i-21:0/i-18:0/i-15:0)
AABKSFWWBUPVNY-NVCPWDGJSA-N,CL(16:0/18:1(9Z)/22:1(13Z)/22:1(13Z))
AABORWYRSOFPIQ-RIVVNBGWSA-N,TG(10:0/a-17:0/19:0)[rac]
AACGGBKJSIMRBR-BWSSJUFOSA-N,TG(a-13:0/15:0/i-17:0)[rac]
AACZXYOSBJYYOH-XBNQVYLISA-N,"TG(22:1(13Z)/15:0/18:4(6Z,9Z,12Z,15Z))"
AAEDIKNVLNRFNP-VERBRUMSSA-N,"TG(20:1(11Z)/14:0/22:2(13Z,16Z))"
AAEDVOLFYYONLY-WBCKFURZSA-N,TG(8:0/19:0/i-15:0)
AAEGDCWJLSBMKO-QRXDBQBNSA-N,TG(i-22:0/21:0/18:0)
AAEKPOOCHGGGKT-NLXJDERGSA-N,TG(i-12:0/21:0/18:0)
AAEVYOVXGOFMJO-UHFFFAOYSA-N,16-F1-phytoprostane
AAFBEFOSCLMOTF-KXBCQOCRSA-N,"TG(18:3(9Z,12Z,15Z)/18:2(9Z,12Z)/20:1(13Z))"
AAFBEFOSCLMOTF-RRPFJGJLSA-N,"TG(20:1(13Z)/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))"
