gene_symbol,symbol,name
AAK1,AAK1,AAK1
AANAT,AANAT,AANAT
ABCB1,ABCB1,ABCB1
ABCB11,ABCB11,ABCB11
ABCC1,ABCC1,ABCC1
ABCC2,ABCC2,ABCC2
ABCC4,ABCC4,ABCC4
ABCG2,ABCG2,ABCG2
ABHD16A,ABHD16A,ABHD16A
ABL1,ABL1,ABL1
ABL2,ABL2,ABL2
ACACA,ACACA,ACACA
ACACB,ACACB,ACACB
ACE,ACE,ACE
ACE2,ACE2,ACE2
ACHE,ACHE,ACHE
ACLY,ACLY,ACLY
ACP1,ACP1,ACP1
ACR,ACR,ACR
ACVR1,ACVR1,ACVR1
ADA,ADA,ADA
ADAM17,ADAM17,ADAM17
ADAMTS4,ADAMTS4,ADAMTS4
ADAMTS5,ADAMTS5,ADAMTS5
ADCY1,ADCY1,ADCY1
ADCY10,ADCY10,ADCY10
ADCY8,ADCY8,ADCY8
ADGRF1,ADGRF1,ADGRF1
ADH1A,ADH1A,ADH1A
ADH1B,ADH1B,ADH1B
ADH1C,ADH1C,ADH1C
ADH7,ADH7,ADH7
ADK,ADK,ADK
ADORA1,ADORA1,ADORA1
ADORA2A,ADORA2A,ADORA2A
ADORA2B,ADORA2B,ADORA2B
ADORA3,ADORA3,ADORA3
ADRA1A,ADRA1A,ADRA1A
ADRA1B,ADRA1B,ADRA1B
ADRA1D,ADRA1D,ADRA1D
ADRA2A,ADRA2A,ADRA2A
ADRA2B,ADRA2B,ADRA2B
ADRA2C,ADRA2C,ADRA2C
ADRB1,ADRB1,ADRB1
ADRB2,ADRB2,ADRB2
ADRB3,ADRB3,ADRB3
ADSS2,ADSS2,ADSS2
ADTRP,ADTRP,ADTRP
AGER,AGER,AGER
AGL,AGL,AGL
AGTR1,AGTR1,AGTR1
AGTR2,AGTR2,AGTR2
AGXT,AGXT,AGXT
AHR,AHR,AHR
AIG1,AIG1,AIG1
AKAP7,AKAP7,AKAP7
AKR1B1,AKR1B1,AKR1B1
AKR1B10,AKR1B10,AKR1B10
AKR1C1,AKR1C1,AKR1C1
AKR1C2,AKR1C2,AKR1C2
AKR1C3,AKR1C3,AKR1C3
AKR1C4,AKR1C4,AKR1C4
AKT1,AKT1,AKT1
AKT2,AKT2,AKT2
AKT3,AKT3,AKT3
ALB,ALB,ALB
ALDH1A1,ALDH1A1,ALDH1A1
ALDH1A2,ALDH1A2,ALDH1A2
ALDH1A3,ALDH1A3,ALDH1A3
ALDH1B1,ALDH1B1,ALDH1B1
ALDH2,ALDH2,ALDH2
ALDH3A1,ALDH3A1,ALDH3A1
ALK,ALK,ALK
ALKBH2,ALKBH2,ALKBH2
ALKBH3,ALKBH3,ALKBH3
ALKBH5,ALKBH5,ALKBH5
ALOX12,ALOX12,ALOX12
ALOX12B,ALOX12B,ALOX12B
ALOX15,ALOX15,ALOX15
ALOX15B,ALOX15B,ALOX15B
ALOX5,ALOX5,ALOX5
ALPG,ALPG,ALPG
ALPI,ALPI,ALPI
ALPL,ALPL,ALPL
AMD1,AMD1,AMD1
AMDHD2,AMDHD2,AMDHD2
AMY1A,AMY1A,AMY1A
AMY2A,AMY2A,AMY2A
ANG,ANG,ANG
ANPEP,ANPEP,ANPEP
ANTXR2,ANTXR2,ANTXR2
AOC3,AOC3,AOC3
AOX1,AOX1,AOX1
APAF1,APAF1,APAF1
APEX1,APEX1,APEX1
APLNR,APLNR,APLNR
APOBEC3A,APOBEC3A,APOBEC3A
APOBEC3G,APOBEC3G,APOBEC3G
APOE,APOE,APOE
APP,APP,APP
AR,AR,AR
ARG1,ARG1,ARG1
ARG2,ARG2,ARG2
ARHGAP35,ARHGAP35,ARHGAP35
ASAH1,ASAH1,ASAH1
ASAH2,ASAH2,ASAH2
ASPH,ASPH,ASPH
ATG4B,ATG4B,ATG4B
ATIC,ATIC,ATIC
ATM,ATM,ATM
ATP12A,ATP12A,ATP12A
ATP1A1,ATP1A1,ATP1A1
ATP1A2,ATP1A2,ATP1A2
ATP1B2,ATP1B2,ATP1B2
ATP1B3,ATP1B3,ATP1B3
ATP2A2,ATP2A2,ATP2A2
ATP2A3,ATP2A3,ATP2A3
ATP4A,ATP4A,ATP4A
ATR,ATR,ATR
AURKA,AURKA,AURKA
AURKB,AURKB,AURKB
AURKC,AURKC,AURKC
AVPR1A,AVPR1A,AVPR1A
AVPR1B,AVPR1B,AVPR1B
AVPR2,AVPR2,AVPR2
AXL,AXL,AXL
BACE1,BACE1,BACE1
BAD,BAD,BAD
BARD1,BARD1,BARD1
BBOX1,BBOX1,BBOX1
BCHE,BCHE,BCHE
BCL2,BCL2,BCL2
BCL2A1,BCL2A1,BCL2A1
BCL2L1,BCL2L1,BCL2L1
BCL2L10,BCL2L10,BCL2L10
BCL2L11,BCL2L11,BCL2L11
BCL9,BCL9,BCL9
BDNF,BDNF,BDNF
BHMT,BHMT,BHMT
BHMT2,BHMT2,BHMT2
BIRC5,BIRC5,BIRC5
BLK,BLK,BLK
BLM,BLM,BLM
BMP2K,BMP2K,BMP2K
BMPR2,BMPR2,BMPR2
BRAF,BRAF,BRAF
BRD2,BRD2,BRD2
BRD3,BRD3,BRD3
BRD4,BRD4,BRD4
BRDT,BRDT,BRDT
BRSK1,BRSK1,BRSK1
BTK,BTK,BTK
BTN3A1,BTN3A1,BTN3A1
C3AR1,C3AR1,C3AR1
C5AR1,C5AR1,C5AR1
CA1,CA1,CA1
CA12,CA12,CA12
CA13,CA13,CA13
CA14,CA14,CA14
CA2,CA2,CA2
CA3,CA3,CA3
CA4,CA4,CA4
CA5A,CA5A,CA5A
CA5B,CA5B,CA5B
CA6,CA6,CA6
CA7,CA7,CA7
CA9,CA9,CA9
CACNA1B,CACNA1B,CACNA1B
CACNA1C,CACNA1C,CACNA1C
CACNA1G,CACNA1G,CACNA1G
CACNA1H,CACNA1H,CACNA1H
CACNA2D1,CACNA2D1,CACNA2D1
CACNA2D2,CACNA2D2,CACNA2D2
CACNB1,CACNB1,CACNB1
CACNB3,CACNB3,CACNB3
CAD,CAD,CAD
CALCRL,CALCRL,CALCRL
CALM1,CALM1,CALM1
CAMK1,CAMK1,CAMK1
CAMK1D,CAMK1D,CAMK1D
CAMK2A,CAMK2A,CAMK2A
CAMK2B,CAMK2B,CAMK2B
CAMK2D,CAMK2D,CAMK2D
CAMK2G,CAMK2G,CAMK2G
CAMKK2,CAMKK2,CAMKK2
CAPN1,CAPN1,CAPN1
CAPN2,CAPN2,CAPN2
CARM1,CARM1,CARM1
CASP1,CASP1,CASP1
CASP2,CASP2,CASP2
CASP3,CASP3,CASP3
CASP4,CASP4,CASP4
CASP5,CASP5,CASP5
CASP7,CASP7,CASP7
CASP8,CASP8,CASP8
CASP9,CASP9,CASP9
CASR,CASR,CASR
CBR1,CBR1,CBR1
CBS,CBS,CBS
CCKBR,CCKBR,CCKBR
CCL2,CCL2,CCL2
CCL4,CCL4,CCL4
CCNC,CCNC,CCNC
CCNT1,CCNT1,CCNT1
CCR1,CCR1,CCR1
CCR2,CCR2,CCR2
CCR3,CCR3,CCR3
CCR4,CCR4,CCR4
CCR5,CCR5,CCR5
CCR6,CCR6,CCR6
CCR8,CCR8,CCR8
CD209,CD209,CD209
CD274,CD274,CD274
CD38,CD38,CD38
CD44,CD44,CD44
CD69,CD69,CD69
CD81,CD81,CD81
CDA,CDA,CDA
CDC25A,CDC25A,CDC25A
