ingredient_id,name,latin,node_type,data_status,measured_fraction
SP_000001,Savoy cabbage,Brassica oleracea var. sabauda,species,full,0.2272
SP_000002,Kiwi,Actinidia chinensis,species,full,0.2266
SP_000003,Garden onion,Allium cepa,species,full,0.2243
SP_000004,Leek,Allium porrum,species,full,0.2272
SP_000005,Garlic,Allium sativum,species,full,0.2269
SP_000006,Chives,Allium schoenoprasum,species,full,0.2246
SP_000007,Lemon verbena,Aloysia triphylla,species,full,0.2272
SP_000008,Cashew nut,Anacardium occidentale,species,full,0.2268
SP_000009,Pineapple,Ananas comosus,species,full,0.2225
SP_000010,Dill,Anethum graveolens,species,full,0.2324
SP_000011,Custard apple,Annona reticulata,species,full,0.2266
SP_000012,Peanut,Arachis hypogaea,species,full,0.2259
SP_000013,Burdock,Arctium lappa,species,full,0.23
SP_000014,Horseradish,Armoracia rusticana,species,full,0.2258
SP_000015,Tarragon,Artemisia dracunculus,species,full,0.2286
SP_000016,Mugwort,Artemisia vulgaris,species,full,0.2285
SP_000017,Asparagus,Asparagus officinalis,species,full,0.2261
SP_000018,Oat,Avena sativa,species,full,0.2256
SP_000019,Brazil nut,Bertholletia excelsa,species,full,0.2246
SP_000020,Borage,Borago officinalis,species,full,0.2286
SP_000021,Chinese mustard,Brassica juncea,species,full,0.2276
SP_000022,Swede,Brassica napus,species,full,0.2254
SP_000023,Cauliflower,Brassica oleracea var. botrytis,species,full,0.2238
SP_000024,Brussel sprouts,Brassica oleracea var. gemmifera,species,full,0.2272
SP_000025,Kohlrabi,Brassica oleracea var. gongylodes,species,full,0.2257
SP_000026,Broccoli,Brassica oleracea var. italica,species,full,0.229
SP_000027,Chinese cabbage,Brassica rapa,species,full,0.2248
SP_000028,Turnip,Brassica rapa var. rapa,species,full,0.2305
SP_000029,Pigeon pea,Cajanus cajan,species,full,0.2276
SP_000030,Tea,Camellia sinensis,species,full,0.2165
SP_000031,Capers,Capparis spinosa,species,full,0.2286
SP_000032,Pepper,Capsicum annuum,species,full,0.2259
SP_000033,Papaya,Carica papaya,species,full,0.2264
SP_000034,Safflower,Carthamus tinctorius,species,full,0.2226
SP_000035,Caraway,Carum carvi,species,full,0.2255
SP_000036,Pecan nut,Carya illinoinensis,species,full,0.225
SP_000037,Chestnut,Castanea,species,full,0.2269
SP_000038,Chickpea,Cicer arietinum,species,full,0.2254
SP_000039,Endive,Cichorium endivia,species,full,0.2257
SP_000040,Chicory,Cichorium intybus,species,full,0.2255
SP_000041,Ceylon cinnamon,Cinnamomum verum,species,full,0.2269
SP_000042,Watermelon,Citrullus lanatus,species,full,0.2273
SP_000043,Lime,Citrus aurantiifolia,species,full,0.2262
SP_000044,Lemon,Citrus limon,species,full,0.2251
SP_000045,Pummelo,Citrus maxima,species,full,0.2267
SP_000046,Sweet orange,Citrus sinensis,species,full,0.2321
SP_000047,Coffee,Coffea,species,full,0.2222
SP_000048,Coriander,Coriandrum sativum,species,full,0.2261
SP_000049,Saffron,Crocus sativus,species,full,0.2288
SP_000050,Cucumber,Cucumis sativus,species,full,0.2277
SP_000051,Cumin,Cuminum cyminum,species,full,0.2239
SP_000052,Turmeric,Curcuma longa,species,full,0.2264
SP_000053,Quince,Cydonia oblonga,species,full,0.2292
SP_000054,Lemon grass,Cymbopogon citratus,species,full,0.2306
SP_000055,Cardamom,Elettaria cardamomum,species,full,0.2314
SP_000056,Loquat,Eriobotrya japonica,species,full,0.2285
SP_000057,Fig,Ficus carica,species,full,0.2287
SP_000058,Fennel,Foeniculum vulgare,species,full,0.2285
SP_000059,Strawberry,Fragaria X ananassa,species,full,0.2235
SP_000060,Soy bean,Glycine max,species,full,0.226
SP_000061,Sunflower,Helianthus annuus,species,full,0.2306
SP_000062,Barley,Hordeum vulgare,species,full,0.2238
SP_000063,Star anise,Illicium verum,species,full,0.2291
SP_000064,Sweet potato,Ipomoea batatas,species,full,0.2283
SP_000065,Black walnut,Juglans nigra,species,full,0.2332
SP_000066,Lettuce,Lactuca sativa,species,full,0.2254
SP_000067,Sweet bay,Laurus nobilis,species,full,0.2281
SP_000068,Lentils,Lens culinaris,species,full,0.2271
SP_000069,Garden cress,Lepidium sativum,species,full,0.2254
SP_000070,Flaxseed,Linum usitatissimum,species,full,0.2195
SP_000071,Mexican oregano,Lippia graveolens,species,full,0.2299
SP_000072,Apple,Malus pumila,species,full,0.2242
SP_000073,Mango,Mangifera indica,species,full,0.2236
SP_000074,Lemon balm,Melissa officinalis,species,full,0.2266
SP_000075,Spearmint,Mentha spicata,species,full,0.2296
SP_000076,Peppermint,Mentha X piperita,species,full,0.2246
SP_000077,Mulberry,Morus,species,full,0.227
SP_000078,Nutmeg,Myristica fragrans,species,full,0.2249
SP_000079,Sweet basil,Ocimum basilicum,species,full,0.2263
