nutrient_id,name,group
1178,Vitamin B-12,vitamin
1277,MUFA 20:1,other
1265,SFA 16:0,other
1089,"Iron, Fe",mineral
1260,SFA 6:0,other
1095,"Zinc, Zn",mineral
1325,PUFA 20:3,other
1165,Thiamin,vitamin
1105,Retinol,vitamin
1008,Energy,macro
1014,Maltose,other
1010,Sucrose,other
1259,SFA 4:0,other
1276,PUFA 18:4,other
1332,SFA 13:0,other
1253,Cholesterol,other
1170,Pantothenic acid,vitamin
1269,PUFA 18:2,other
1092,"Potassium, K",mineral
1166,Riboflavin,vitamin
1162,"Vitamin C, total ascorbic acid",vitamin
1321,"PUFA 18:3 n-6 c,c,c",other
1190,"Folate, DFE",vitamin
1293,"Fatty acids, total polyunsaturated",fatty_acid
1266,SFA 18:0,other
1267,SFA 20:0,other
1087,"Calcium, Ca",mineral
1313,"PUFA 20:2 n-6 c,c",other
1333,MUFA 15:1,other
1279,MUFA 22:1,other
1114,Vitamin D (D2 + D3),vitamin
1167,Niacin,vitamin
1262,SFA 10:0,other
1299,SFA 15:0,other
1018,"Alcohol, ethyl",other
1268,MUFA 18:1,other
2000,Total Sugars,macro
1005,"Carbohydrate, by difference",macro
1011,Glucose,other
1304,TFA 18:1 t,other
1292,"Fatty acids, total monounsaturated",fatty_acid
1404,"PUFA 18:3 n-3 c,c,c (ALA)",other
1271,PUFA 20:4,other
1270,PUFA 18:3,other
1177,"Folate, total",vitamin
1003,Protein,macro
1075,Galactose,other
1012,Fructose,other
1315,MUFA 18:1 c,other
1127,"Tocopherol, delta",vitamin
1312,MUFA 24:1 c,other
1128,"Tocotrienol, alpha",other
1214,Lysine,other
1224,Glutamic acid,other
1215,Methionine,other
1264,SFA 14:0,other
1009,Starch,other
1013,Lactose,other
1210,Tryptophan,other
1062,Energy,macro
1101,"Manganese, Mn",mineral
1226,Proline,other
1007,Ash,macro
1211,Threonine,other
1329,"Fatty acids, total trans-monoenoic",fatty_acid
1051,Water,macro
1223,Aspartic acid,other
1131,"Tocotrienol, delta",other
1323,MUFA 17:1,other
1090,"Magnesium, Mg",mineral
1175,Vitamin B-6,vitamin
1106,"Vitamin A, RAE",vitamin
1217,Phenylalanine,other
1257,"Fatty acids, total trans",fatty_acid
1280,PUFA 22:5 n-3 (DPA),other
1275,MUFA 16:1,other
1185,Vitamin K (phylloquinone),vitamin
1225,Glycine,other
1221,Histidine,other
1273,SFA 22:0,other
1109,Vitamin E (alpha-tocopherol),vitamin
1220,Arginine,other
1218,Tyrosine,other
1098,"Copper, Cu",mineral
1129,"Tocotrienol, beta",other
1300,SFA 17:0,other
1219,Valine,other
1110,"Vitamin D (D2 + D3), International Units",vitamin
1263,SFA 12:0,other
1125,"Tocopherol, beta",vitamin
1079,"Fiber, total dietary",macro
1301,SFA 24:0,other
1216,Cystine,other
1212,Isoleucine,other
1222,Alanine,other
1261,SFA 8:0,other
1093,"Sodium, Na",mineral
1274,MUFA 14:1,other
1091,"Phosphorus, P",mineral
1186,Folic acid,vitamin
1227,Serine,other
1104,"Vitamin A, IU",vitamin
1272,PUFA 22:6 n-3 (DHA),other
1258,"Fatty acids, total saturated",fatty_acid
1184,Vitamin K (Dihydrophylloquinone),vitamin
1187,"Folate, food",vitamin
1213,Leucine,other
1130,"Tocotrienol, gamma",other
