pathway_id,name,database
GO:0044208,'de novo' AMP biosynthetic process,go
GO:0006189,'de novo' IMP biosynthetic process,go
GO:0034354,'de novo' NAD+ biosynthetic process from L-tryptophan,go
GO:0044205,'de novo' UMP biosynthetic process,go
GO:0097294,'de novo' XMP biosynthetic process,go
GO:0006458,'de novo' protein folding,go
GO:0006207,'de novo' pyrimidine nucleobase biosynthetic process,go
GO:0070935,3'-UTR-mediated mRNA stabilization,go
GO:0050427,3'-phosphoadenosine 5'-phosphosulfate metabolic process,go
GO:0018960,4-nitrophenol metabolic process,go
GO:0042904,9-cis-retinoic acid biosynthetic process,go
GO:0046032,ADP catabolic process,go
GO:0046031,ADP metabolic process,go
GO:0140970,AIM2 inflammasome complex assembly,go
GO:0006196,AMP catabolic process,go
GO:0044209,AMP salvage,go
GO:0097113,AMPA glutamate receptor clustering,go
GO:0098990,AMPA selective glutamate receptor signaling pathway,go
GO:0036500,ATF6-mediated unfolded protein response,go
GO:0046034,ATP metabolic process,go
GO:0086016,AV node cell action potential,go
GO:0086067,AV node cell to bundle of His cell communication,go
GO:0086027,AV node cell to bundle of His cell signaling,go
GO:0042113,B cell activation,go
GO:0002312,B cell activation involved in immune response,go
GO:0030183,B cell differentiation,go
GO:0042100,B cell proliferation,go
GO:0050853,B cell receptor signaling pathway,go
GO:0030509,BMP signaling pathway,go
GO:0006700,C21-steroid hormone biosynthetic process,go
GO:0080120,CAAX-box protein maturation,go
GO:0160162,CD27 signaling pathway,go
GO:0055130,D-alanine catabolic process,go
GO:0019478,D-amino acid catabolic process,go
GO:0046416,D-amino acid metabolic process,go
GO:0019521,D-gluconate metabolic process,go
GO:0098708,D-glucose import across plasma membrane,go
GO:1904659,D-glucose transmembrane transport,go
GO:0036088,D-serine catabolic process,go
GO:0070178,D-serine metabolic process,go
GO:0071897,DNA biosynthetic process,go
GO:0000077,DNA damage checkpoint signaling,go
GO:0006974,DNA damage response,go
GO:0030330,"DNA damage response, signal transduction by p53 class mediator",go
GO:0006301,DNA damage tolerance,go
GO:0000729,DNA double-strand break processing,go
GO:0010792,DNA double-strand break processing involved in repair via single-strand annealing,go
GO:0032392,DNA geometric change,go
GO:0006259,DNA metabolic process,go
GO:0006346,DNA methylation-dependent constitutive heterochromatin formation,go
GO:0042262,DNA protection,go
GO:0000730,DNA recombinase assembly,go
GO:0006310,DNA recombination,go
GO:0006281,DNA repair,go
GO:0140861,DNA repair-dependent chromatin remodeling,go
GO:0006260,DNA replication,go
GO:0006270,DNA replication initiation,go
GO:0045004,DNA replication proofreading,go
GO:0006269,"DNA replication, synthesis of primer",go
GO:0022616,DNA strand elongation,go
GO:0006271,DNA strand elongation involved in DNA replication,go
GO:0042148,DNA strand invasion,go
GO:0000731,DNA synthesis involved in DNA repair,go
GO:0006265,DNA topological change,go
GO:0006261,DNA-templated DNA replication,go
GO:0006351,DNA-templated transcription,go
GO:0006353,DNA-templated transcription termination,go
GO:0006983,ER overload response,go
GO:0036503,ERAD pathway,go
GO:0038127,ERBB signaling pathway,go
GO:0038128,ERBB2 signaling pathway,go
GO:0038134,ERBB2-EGFR signaling pathway,go
GO:0038133,ERBB2-ERBB3 signaling pathway,go
GO:0070371,ERK1 and ERK2 cascade,go
GO:0038093,Fc receptor signaling pathway,go
GO:0038095,Fc-epsilon receptor signaling pathway,go
GO:0038094,Fc-gamma receptor signaling pathway,go
GO:0038096,Fc-gamma receptor signaling pathway involved in phagocytosis,go
GO:0007213,G protein-coupled acetylcholine receptor signaling pathway,go
GO:0001973,G protein-coupled adenosine receptor signaling pathway,go
GO:0007216,G protein-coupled glutamate receptor signaling pathway,go
GO:0038003,G protein-coupled opioid receptor signaling pathway,go
GO:0035589,G protein-coupled purinergic nucleotide receptor signaling pathway,go
GO:0002031,G protein-coupled receptor internalization,go
GO:0007186,G protein-coupled receptor signaling pathway,go
